furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
No,Yes,Yes,,,210 m²,1090 Jette,2.0,5.0,2.0,2.0,  598 000 €  ,VBC87660,https://immovlan.be/en/detail/residence/for-sale/1090/jette/vbc87660,,,,,Yes,,,Residence
,Yes,Yes,,,91 m²,1140 Evere,1.0,2.0,,,  299 000 €  ,VBC87658,https://immovlan.be/en/detail/ground-floor/for-sale/1140/evere/vbc87658,To renovate,27 m²,10 m²,,Yes,,Gas,Ground
No,,,,,115 m²,1150 Sint-Pieters-Woluwe,1.0,3.0,,3.0,  525 000 €  ,RBT66937,https://immovlan.be/en/detail/penthouse/for-sale/1150/sint-pieters-woluwe/rbt66937,Excellent,,17 m²,No,Yes,,Gas,Penthouse
No,,,,,115 m²,1150 Sint-Pieters-Woluwe,1.0,3.0,,3.0,  495 000 €  ,RBT66936,https://immovlan.be/en/detail/penthouse/for-sale/1150/sint-pieters-woluwe/rbt66936,Excellent,,17 m²,No,Yes,,Gas,Penthouse
,,,Fully equipped,Western kitchen,200 m²,1160 Oudergem,3.0,3.0,2.0,2.0,  750 000 €  ,VBC87645,https://immovlan.be/en/detail/mixed-building/for-sale/1160/oudergem/vbc87645,Normal,,,No,Yes,50 m²,,Mixed
Yes,,,,,47 m²,1050 Elsene,,,,,  265 000 €  ,VBC87526,https://immovlan.be/en/detail/studio/for-sale/1050/elsene/vbc87526,,,8 m²,,Yes,,,Studio
,Yes,,Fully equipped,Independent,255 m²,1150 Sint-Pieters-Woluwe,,4.0,2.0,,  745 000 €  ,VWD13818,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vwd13818,To be renovated,,15 m²,,Yes,,Gas,Apartment
No,Yes,,,,89 m²,1140 Evere,1.0,2.0,2.0,5.0,  349 000 €  ,VBC87614,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbc87614,New,,3 m²,No,Yes,,Hot air,Apartment
No,,,,,42 m²,1140 Evere,1.0,0.0,2.0,5.0,  219 000 €  ,VBC87613,https://immovlan.be/en/detail/studio/for-sale/1140/evere/vbc87613,New,,3 m²,No,Yes,,Hot air,Studio
,,Yes,,,126 m²,1140 Evere,1.0,3.0,2.0,5.0,  528 000 €  ,VBC87612,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbc87612,New,38 m²,12 m²,No,Yes,,Hot air,Apartment
No,,Yes,,,40 m²,1190 Vorst,1.0,0.0,,4.0,  211 150 €  ,VBC87611,https://immovlan.be/en/detail/studio/for-sale/1190/vorst/vbc87611,,,7 m²,No,Yes,,Hot air,Studio
No,,Yes,,,64 m²,1190 Vorst,1.0,1.0,,4.0,  279 000 €  ,VBC87610,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc87610,,,865 m²,No,Yes,,Hot air,Apartment
No,,Yes,,,64 m²,1190 Vorst,1.0,1.0,,4.0,  279 000 €  ,VBC87609,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc87609,,,865 m²,No,Yes,,Hot air,Apartment
No,,Yes,,,125 m²,1190 Vorst,2.0,3.0,,4.0,  517 500 €  ,VBC87608,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc87608,New,,9 m²,No,Yes,,Hot air,Apartment
No,Yes,Yes,,,87 m²,1190 Vorst,1.0,2.0,,4.0,  335 000 €  ,VBC87607,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc87607,New,,10 m²,No,Yes,,Hot air,Apartment
No,,,Partially equipped,Kitchenette,92 m²,1000 Brussels,1.0,1.0,2.0,3.0,  235 000 €  ,VBC87593,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87593,To renovate,,,No,,,Gas,Apartment
No,,,Super equipped,,180 m²,1070 Anderlecht,1.0,2.0,2.0,3.0, Make offer from 395 000 €  ,VBC87589,https://immovlan.be/en/detail/loft/for-sale/1070/anderlecht/vbc87589,Normal,,,No,,,Gas,Loft
No,,,Super equipped,,180 m²,1070 Anderlecht,1.0,2.0,2.0,3.0, Make offer from 395 000 €  ,VBC87588,https://immovlan.be/en/detail/loft/for-sale/1070/anderlecht/vbc87588,Normal,,,No,,,Gas,Loft
No,Yes,Yes,,,132 m²,1180 Ukkel,2.0,3.0,4.0,3.0,  645 000 €  ,VBC87563,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87563,,244 m²,21 m²,No,Yes,,,Apartment
No,Yes,Yes,,,125 m²,1180 Ukkel,2.0,3.0,4.0,3.0,  635 000 €  ,VBC87562,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87562,,276 m²,36 m²,No,Yes,,,Apartment
No,,,,,60 m²,1190 Vorst,1.0,1.0,2.0,3.0,  179 000 €  ,VBC87555,https://immovlan.be/en/detail/studio/for-sale/1190/vorst/vbc87555,To be renovated,,2 m²,No,Yes,,Gas,Studio
No,Yes,Yes,Super equipped,,127 m²,1000 Brussels,1.0,3.0,2.0,7.0,  590 000 €  ,VBC87552,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87552,Excellent,,3 m²,No,Yes,,,Apartment
No,Yes,Yes,Super equipped,,127 m²,1050 Elsene,1.0,3.0,2.0,7.0,  590 000 €  ,VBC87551,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87551,Excellent,,3 m²,No,Yes,,,Apartment
No,Yes,,Super equipped,,128 m²,1150 Sint-Pieters-Woluwe,1.0,2.0,,5.0,  635 000 €  ,VBC87549,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbc87549,Excellent,,10 m²,No,Yes,,,Apartment
No,Yes,,Super equipped,,128 m²,1150 Sint-Pieters-Woluwe,1.0,2.0,,5.0,  635 000 €  ,VBC87550,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbc87550,Excellent,,10 m²,No,Yes,,,Apartment
No,Yes,,Super equipped,,75 m²,1200 Sint-Lambrechts-Woluwe,1.0,1.0,2.0,5.0,  265 000 €  ,VBC87542,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc87542,To renovate,,2 m²,No,Yes,,Gas,Apartment
No,Yes,,Super equipped,,75 m²,1200 Sint-Lambrechts-Woluwe,1.0,1.0,2.0,5.0,  265 000 €  ,VBC87543,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc87543,To renovate,,2 m²,No,Yes,,Gas,Apartment
No,Yes,,,,92 m²,1200 Sint-Lambrechts-Woluwe,1.0,2.0,4.0,,  399 000 €  ,VBC87541,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc87541,Excellent,,17 m²,No,Yes,,,Apartment
No,,,,,60 m²,1210 Sint-Joost-ten-Node,,1.0,,3.0,  172 500 €  ,VBC87474,https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbc87474,,,,,Yes,,Not specified,Apartment
No,Yes,,Super equipped,,61 m²,1060 Sint-Gillis,1.0,1.0,2.0,5.0,  365 000 €  ,VBC87540,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbc87540,New,,5 m²,No,Yes,,,Apartment
No,Yes,Yes,Super equipped,,225 m²,1030 Schaarbeek,3.0,3.0,2.0,7.0,  750 000 €  ,VBC87539,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc87539,Fully renovated,,,No,Yes,,Gas,Apartment
No,Yes,,Super equipped,,66 m²,1082 Berchem-Sainte-Agathe,1.0,2.0,2.0,,"
 219 000 €
                            
",VBC87538,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbc87538,Normal,,7 m²,No,Yes,,Gas,Apartment
No,Yes,,Super equipped,,66 m²,1082 Berchem-Sainte-Agathe,1.0,2.0,2.0,,"
 219 000 €
                            
",VBC87537,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbc87537,Normal,,7 m²,No,Yes,,Gas,Apartment
No,Yes,Yes,Partially equipped,,220 m²,1090 Jette,,3.0,3.0,2.0,  465 000 €  ,VBC87423,https://immovlan.be/en/detail/residence/for-sale/1090/jette/vbc87423,To be renovated,150 m²,11 m²,,Yes,283 m²,Gas,Residence
No,Yes,,,,70 m²,1180 Ukkel,1.0,2.0,2.0,,  270 000 €  ,VBC87520,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87520,Normal,,5 m²,No,Yes,,Gas,Apartment
,,,Super equipped,,92 m²,1090 Jette,1.0,2.0,2.0,3.0,  239 000 €  ,VBC87508,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbc87508,Normal,,,,,,,Apartment
No,,,Partially equipped,Kitchenette,180 m²,1180 Ukkel,1.0,4.0,3.0,2.0,  395 000 €  ,VBC87507,https://immovlan.be/en/detail/mixed-building/for-sale/1180/ukkel/vbc87507,To renovate,,,,Yes,,Fuel oil,Mixed
No,,Yes,,,50 m²,1040 Etterbeek,1.0,0.0,2.0,, Make offer from 149 000 €  ,VBC87504,https://immovlan.be/en/detail/studio/for-sale/1040/etterbeek/vbc87504,Fully renovated,,,No,Yes,,,Studio
No,,Yes,,,50 m²,1040 Etterbeek,1.0,0.0,2.0,, Make offer from 149 000 €  ,VBC87505,https://immovlan.be/en/detail/studio/for-sale/1040/etterbeek/vbc87505,Fully renovated,,,No,Yes,,,Studio
No,,,,,51 m²,1040 Etterbeek,1.0,1.0,,,  249 000 €  ,VBC87503,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc87503,,,1 m²,No,Yes,,Gas,Apartment
No,,,Super equipped,,120 m²,1180 Ukkel,1.0,2.0,2.0,4.0,  420 000 €  ,VBC87502,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87502,Fully renovated,,4 m²,No,Yes,,Gas,Apartment
No,,,Super equipped,,120 m²,1180 Ukkel,1.0,2.0,2.0,4.0,  420 000 €  ,VBC87501,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87501,Fully renovated,,4 m²,No,Yes,,Gas,Apartment
No,,,Partially equipped,,195 m²,1081 Koekelberg,,4.0,2.0,3.0,  310 000 €  ,VBC87374,https://immovlan.be/en/detail/residence/for-sale/1081/koekelberg/vbc87374,To be renovated,,4 m²,,Yes,70 m²,,Residence
No,,,,,125 m²,1030 Schaarbeek,1.0,4.0,2.0,2.0, Make offer from 400 000 €  ,VBC87480,https://immovlan.be/en/detail/residence/for-sale/1030/schaarbeek/vbc87480,To renovate,,15 m²,,Yes,70 m²,Gas,Residence
No,,Yes,,Independent,171 m²,1050 Elsene,2.0,3.0,2.0,1.0,  475 000 €  ,VBC87475,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbc87475,To be renovated,40 m²,15 m²,No,Yes,141 m²,,Residence
No,,,Super equipped,,218 m²,1050 Elsene,1.0,3.0,2.0,9.0,  730 000 €  ,VBC87473,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87473,Excellent,,6 m²,No,Yes,,Gas,Apartment
No,Yes,Yes,,Independent,372 m²,1020 Laken,1.0,4.0,2.0,3.0,  598 000 €  ,VBC87417,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbc87417,To renovate,335 m²,,,Yes,,Gas,Residence
No,,,Super equipped,,94 m²,1040 Etterbeek,2.0,3.0,2.0,6.0,  495 000 €  ,VBC87413,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc87413,Excellent,,,No,,,Gas,Apartment
No,Yes,,Super equipped,,220 m²,1050 Elsene,2.0,3.0,2.0,9.0,  650 000 €  ,VBC87403,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87403,Excellent,,,No,Yes,,Gas,Apartment
No,Yes,,Super equipped,,220 m²,1050 Elsene,2.0,3.0,2.0,9.0,  650 000 €  ,VBC87402,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87402,Excellent,,,No,Yes,,Gas,Apartment
No,,,,,82 m²,1050 Elsene,1.0,1.0,2.0,3.0,  299 000 €  ,VBC87400,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87400,,,,,,,Gas,Apartment
No,Yes,Yes,Super equipped,,113 m²,1080 Sint-Jans-Molenbeek,2.0,3.0,2.0,4.0,  315 000 €  ,VBC87380,https://immovlan.be/en/detail/ground-floor/for-sale/1080/sint-jans-molenbeek/vbc87380,Normal,75 m²,,,Yes,,Electricity,Ground
No,,,Partially equipped,Kitchenette,76 m²,1090 Jette,1.0,1.0,2.0,4.0,  209 000 €  ,VBC87377,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbc87377,Excellent,,,,,,Gas,Apartment
No,Yes,Yes,,Independent,390 m²,1050 Elsene,2.0,4.0,3.0,3.0,  2 450 000 €  ,VBC87369,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbc87369,To be renovated,233 m²,,No,Yes,,,Residence
No,Yes,,,,92 m²,1160 Oudergem,1.0,2.0,,4.0,  495 000 €  ,VBC87368,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbc87368,,,,,Yes,,Not specified,Apartment
No,,Yes,Partially equipped,Kitchenette,316 m²,1140 Evere,3.0,3.0,2.0,3.0,  745 000 €  ,VBC87362,https://immovlan.be/en/detail/mixed-building/for-sale/1140/evere/vbc87362,Normal,18 m²,,No,,96 m²,Gas,Mixed
No,Yes,,Super equipped,,99 m²,1200 Sint-Lambrechts-Woluwe,2.0,2.0,3.0,6.0,  380 000 €  ,VBC87360,https://immovlan.be/en/detail/ground-floor/for-sale/1200/sint-lambrechts-woluwe/vbc87360,Excellent,,,No,,,Gas,Ground
No,Yes,Yes,Super equipped,,215 m²,1140 Evere,2.0,5.0,3.0,2.0,  775 000 €  ,VBC87358,https://immovlan.be/en/detail/residence/for-sale/1140/evere/vbc87358,Excellent,100 m²,,No,Yes,,,Residence
No,,,,,185 m²,1082 Berchem-Sainte-Agathe,2.0,5.0,,4.0,  449 000 €  ,VBC87354,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbc87354,,,2 m²,,Yes,,Gas,Apartment
No,,Yes,,,100 m²,1200 Sint-Lambrechts-Woluwe,2.0,2.0,,3.0,  395 000 €  ,VBC87350,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc87350,Normal,45 m²,,No,Yes,,Gas,Apartment
No,Yes,,Fully equipped,Western kitchen,123 m²,1180 Ukkel,2.0,4.0,,,  425 000 €  ,RBT66541,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rbt66541,Normal,,6 m²,,Yes,,Gas,Apartment
No,Yes,,Super equipped,,245 m²,1190 Vorst,1.0,5.0,4.0,3.0,  875 000 €  ,VBC87334,https://immovlan.be/en/detail/villa/for-sale/1190/vorst/vbc87334,Excellent,,60 m²,,Yes,235 m²,Gas,Villa
No,,,,,,1020 Laken,1.0,2.0,2.0,13.0,  175 000 €  ,VBC87323,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc87323,To be renovated,,20 m²,,Yes,,Gas,Apartment
No,,,,Independent,250 m²,1050 Elsene,2.0,4.0,2.0,3.0,  495 000 €  ,VBC87316,https://immovlan.be/en/detail/duplex/for-sale/1050/elsene/vbc87316,To be renovated,,,No,,,Gas,Duplex
No,,,,Independent,250 m²,1060 Sint-Gillis,2.0,4.0,2.0,3.0,  495 000 €  ,VBC87315,https://immovlan.be/en/detail/duplex/for-sale/1060/sint-gillis/vbc87315,To be renovated,,,No,,,Gas,Duplex
No,,,Partially equipped,Kitchenette,78 m²,1000 Brussels,1.0,1.0,2.0,4.0,  199 000 €  ,VBC87314,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87314,Normal,,,No,,,Gas,Apartment
No,,,,,81 m²,1180 Ukkel,1.0,2.0,2.0,3.0,  249 000 €  ,VBC87311,https://immovlan.be/en/detail/penthouse/for-sale/1180/ukkel/vbc87311,Normal,,,No,Yes,,Gas,Penthouse
Yes,,,,,34 m²,1040 Etterbeek,1.0,0.0,,,  195 000 €  ,VBC87285,https://immovlan.be/en/detail/studio/for-sale/1040/etterbeek/vbc87285,,,,No,,,,Studio
No,,Yes,Super equipped,,450 m²,1050 Elsene,5.0,6.0,2.0,4.0,  1 950 000 €  ,VBC87275,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbc87275,Excellent,125 m²,40 m²,No,Yes,312 m²,Gas,Residence
No,Yes,Yes,Super equipped,,331 m²,1200 Sint-Lambrechts-Woluwe,2.0,6.0,2.0,3.0,  1 200 000 €  ,VBC87273,https://immovlan.be/en/detail/residence/for-sale/1200/sint-lambrechts-woluwe/vbc87273,Excellent,80 m²,,No,Yes,225 m²,Gas,Residence
No,,,Super equipped,,36 m²,1160 Oudergem,1.0,0.0,,12.0,  245 000 €  ,VBC87271,https://immovlan.be/en/detail/studio/for-sale/1160/oudergem/vbc87271,Excellent,,9 m²,No,Yes,,Gas,Studio
No,Yes,Yes,Super equipped,,245 m²,1180 Ukkel,2.0,4.0,3.0,,  925 000 €  ,VBC87268,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbc87268,To be renovated,500 m²,30 m²,,Yes,790 m²,,Residence
,,,,,365 m²,1000 Brussels,2.0,6.0,2.0,4.0,  549 000 €  ,VBC87246,https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbc87246,To be renovated,,17 m²,No,Yes,136 m²,Gas,Mixed
No,,Yes,,,290 m²,1180 Ukkel,4.0,4.0,2.0,,  995 000 €  ,VBC87242,https://immovlan.be/en/detail/mixed-building/for-sale/1180/ukkel/vbc87242,Normal,,,,Yes,150 m²,,Mixed
No,Yes,Yes,Super equipped,,345 m²,1050 Elsene,3.0,4.0,2.0,2.0,  1 650 000 €  ,VBC87237,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbc87237,Excellent,250 m²,,No,Yes,400 m²,Gas,Residence
,Yes,,Super equipped,,142 m²,1040 Etterbeek,2.0,3.0,2.0,7.0, Make offer from 550 000 €  ,VBC87229,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc87229,Excellent,,,No,Yes,,Gas,Apartment
No,,Yes,Super equipped,,467 m²,1060 Sint-Gillis,4.0,6.0,2.0,4.0,  1 420 000 €  ,VBC87189,https://immovlan.be/en/detail/mixed-building/for-sale/1060/sint-gillis/vbc87189,Excellent,190 m²,10 m²,,Yes,285 m²,Gas,Mixed
No,,Yes,Super equipped,,215 m²,1050 Elsene,2.0,3.0,2.0,3.0,  995 000 €  ,VBC87187,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbc87187,,32 m²,,No,Yes,119 m²,,Residence
No,Yes,,Super equipped,,103 m²,1190 Vorst,1.0,2.0,2.0,5.0,  325 000 €  ,VBC87186,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc87186,Normal,,,,Yes,,,Apartment
No,,Yes,Fully equipped,Western kitchen,166 m²,1090 Jette,2.0,4.0,3.0,5.0,  359 000 €  ,VBC87183,https://immovlan.be/en/detail/residence/for-sale/1090/jette/vbc87183,Normal,,10 m²,No,Yes,51 m²,Gas,Residence
No,,Yes,Partially equipped,Kitchenette,227 m²,1070 Anderlecht,1.0,6.0,2.0,3.0,  359 000 €  ,VBC87182,https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/vbc87182,To be renovated,35 m²,,No,Yes,,Gas,Residence
,,,,,240 m²,1190 Vorst,3.0,4.0,2.0,2.0,  475 000 €  ,VBC87172,https://immovlan.be/en/detail/residence/for-sale/1190/vorst/vbc87172,Normal,,,,Yes,110 m²,Gas,Residence
,Yes,,Fully equipped,,85 m²,1080 Sint-Jans-Molenbeek,1.0,2.0,3.0,4.0,  259 000 €  ,VBC87166,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbc87166,,,,,Yes,,Gas,Apartment
,,Yes,,,55 m²,1080 Sint-Jans-Molenbeek,1.0,1.0,2.0,,  170 000 €  ,RWC39855,https://immovlan.be/en/detail/ground-floor/for-sale/1080/sint-jans-molenbeek/rwc39855,Normal,15 m²,,,,,Gas,Ground
,,,,,72 m²,1000 Brussels,1.0,1.0,,4.0,  199 000 €  ,VBC87161,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87161,To renovate,,,,,,Gas,Apartment
,,,,,71 m²,1000 Brussels,1.0,1.0,,4.0,  199 000 €  ,VBC87159,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87159,To renovate,,,,,,Gas,Apartment
,Yes,Yes,,,234 m²,1180 Ukkel,2.0,4.0,,,  895 000 €  ,VBC87158,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbc87158,Normal,250 m²,24 m²,,Yes,505 m²,Gas,Residence
,,,,,73 m²,1180 Ukkel,1.0,1.0,,3.0,  225 000 €  ,VBC87155,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87155,Normal,,6 m²,,Yes,,Gas,Apartment
No,Yes,,,,88 m²,1120 Neder-Over-Heembeek,1.0,2.0,,,  265 000 €  ,RBT66126,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbt66126,Normal,,,,Yes,,Electricity,Apartment
No,,,,,88 m²,1120 Neder-Over-Heembeek,1.0,2.0,,,  265 000 €  ,RBT66125,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbt66125,Normal,,,,Yes,,Electricity,Apartment
,Yes,Yes,Super equipped,,387 m²,1150 Sint-Pieters-Woluwe,2.0,3.0,4.0,1.0, Price on request ,VBC87139,https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbc87139,New,650 m²,30 m²,Yes,Yes,831 m²,Gas,Residence
,,,,,98 m²,1050 Elsene,1.0,2.0,2.0,,  340 000 €  ,VBC87138,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87138,,,2 m²,,Yes,,Gas,Apartment
No,Yes,Yes,Super equipped,,372 m²,1150 Sint-Pieters-Woluwe,3.0,5.0,2.0,2.0,  1 095 000 €  ,VBC87135,https://immovlan.be/en/detail/master-house/for-sale/1150/sint-pieters-woluwe/vbc87135,To be renovated,91 m²,30 m²,,Yes,303 m²,Gas,Master
,,,,,83 m²,1090 Jette,1.0,2.0,2.0,,  230 000 €  ,VWD13785,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vwd13785,Excellent,,12 m²,,Yes,,Gas,Apartment
No,,,Fully equipped,Western kitchen,67 m²,1180 Ukkel,1.0,1.0,2.0,3.0,  265 000 €  ,VBC87131,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87131,New,,,,Yes,,,Apartment
,,,,,41 m²,1050 Elsene,1.0,,2.0,,  240 000 €  ,VBC87116,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87116,,,11 m²,,Yes,,Fuel oil,Apartment
,,,,,40 m²,1050 Elsene,1.0,,2.0,,  225 000 €  ,VBC87115,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc87115,,,,,Yes,,Fuel oil,Apartment
No,Yes,,,,74 m²,1090 Jette,1.0,2.0,,4.0, Make offer from 254 000 €  ,RBT65653,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/rbt65653,To renovate,,,,,,Gas,Apartment
No,,,Fully equipped,Western kitchen,115 m²,1150 Sint-Pieters-Woluwe,1.0,3.0,2.0,4.0,  385 000 €  ,VBC87110,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbc87110,To renovate,,10 m²,No,Yes,,,Apartment
No,Yes,,Super equipped,,165 m²,1180 Ukkel,2.0,3.0,2.0,15.0,  670 000 €  ,VBC87104,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87104,Fully renovated,,,Yes,Yes,,Gas,Apartment
No,,,Super equipped,,87 m²,1140 Evere,1.0,2.0,2.0,4.0,  330 000 €  ,VBC87091,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbc87091,Excellent,,12 m²,No,Yes,,,Apartment
No,Yes,,,,40 m²,1050 Elsene,1.0,1.0,,10.0,  239 000 €  ,VBC87090,https://immovlan.be/en/detail/studio/for-sale/1050/elsene/vbc87090,Excellent,,,No,,,Gas,Studio
No,Yes,,,,75 m²,1080 Sint-Jans-Molenbeek,1.0,2.0,2.0,6.0,  245 000 €  ,VBC87089,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbc87089,To be renovated,,12 m²,,Yes,,Gas,Apartment
No,Yes,,Fully equipped,Western kitchen,65 m²,1180 Ukkel,1.0,1.0,2.0,8.0,  249 000 €  ,VBC87081,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc87081,Normal,,8 m²,No,Yes,,,Apartment
,,,,,,1060 Sint-Gillis,,,,, Price on request ,VBC87056,https://immovlan.be/en/detail/mixed-building/for-sale/1060/sint-gillis/vbc87056,,,,No,,,,Mixed
No,Yes,Yes,Super equipped,,97 m²,1040 Etterbeek,2.0,2.0,,3.0,  480 000 €  ,VBC87054,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc87054,Excellent,,6 m²,No,Yes,,Gas,Apartment
,,,,,55 m²,1000 Brussels,1.0,1.0,,,  193 000 €  ,RWC39833,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rwc39833,Normal,,,,,,Electricity,Apartment
No,,,Super equipped,,70 m²,1060 Sint-Gillis,1.0,1.0,2.0,4.0, Make offer from 249 000 €  ,VBC87014,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbc87014,Fully renovated,,,No,,,Gas,Apartment
No,Yes,,,,139 m²,1040 Etterbeek,1.0,2.0,2.0,3.0,  470 000 €  ,VBC87009,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc87009,To be renovated,,,No,Yes,,Gas,Apartment
No,,,Super equipped,,155 m²,1060 Sint-Gillis,1.0,3.0,2.0,6.0,  770 000 €  ,VBC86996,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbc86996,Excellent,,5 m²,No,Yes,,Hot air,Apartment
,Yes,Yes,Partially equipped,Kitchenette,101 m²,1180 Ukkel,1.0,2.0,,3.0,  350 000 €  ,VBC86986,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc86986,Excellent,1100 m²,8 m²,No,Yes,,Gas,Apartment
,,,,,430 m²,1180 Ukkel,2.0,3.0,2.0,3.0, Make offer from 895 000 €  ,VBC86983,https://immovlan.be/en/detail/mixed-building/for-sale/1180/ukkel/vbc86983,Normal,,,No,,220 m²,Gas,Mixed
,Yes,,Super equipped,,110 m²,1030 Schaarbeek,1.0,2.0,2.0,8.0,  330 000 €  ,VBC86982,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc86982,Normal,,15 m²,No,Yes,,Gas,Apartment
,Yes,,,,33 m²,1140 Evere,1.0,0.0,4.0,,  149 000 €  ,VWD13765,https://immovlan.be/en/detail/studio/for-sale/1140/evere/vwd13765,Normal,,7 m²,,Yes,,Gas,Studio
,Yes,,,Independent,115 m²,1000 Brussels,1.0,3.0,,, Make offer from 489 000 €  ,VBC86919,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc86919,To renovate,,,,,,Gas,Apartment
No,Yes,,,,40 m²,1170 Watermaal-Bosvoorde,1.0,1.0,,8.0,  200 000 €  ,VBC86902,https://immovlan.be/en/detail/studio/for-sale/1170/watermaal-bosvoorde/vbc86902,To be renovated,,10 m²,,Yes,,,Studio
