furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
,Yes,Yes,,,199 m²,2470 Retie,1.0,3.0,4.0,,  560 000 €  ,RBT71814,https://immovlan.be/en/detail/residence/for-sale/2470/retie/rbt71814,,,,No,Yes,1932 m²,Fuel oil,Residence
No,,Yes,,,248 m²,2200 Herentals,1.0,4.0,4.0,,  1 750 000 €  ,RBT71754,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbt71754,Normal,,,,Yes,4301 m²,Gas,Residence
No,Yes,,,,315 m²,2340 Beerse,2.0,3.0,3.0,,  349 000 €  ,RBT71752,https://immovlan.be/en/detail/residence/for-sale/2340/beerse/rbt71752,Normal,,,,Yes,127 m²,Not specified,Residence
No,Yes,Yes,,,203 m²,2400 Mol,1.0,3.0,3.0,2.0,  491 322 €  ,RBT71737,https://immovlan.be/en/detail/villa/for-sale/2400/mol/rbt71737,New,,,,,452 m²,,Villa
No,Yes,Yes,,,241 m²,2400 Mol,1.0,4.0,3.0,2.0,  523 500 €  ,RBT71735,https://immovlan.be/en/detail/villa/for-sale/2400/mol/rbt71735,New,,,,,748 m²,,Villa
No,Yes,Yes,,,246 m²,2440 Geel,1.0,4.0,4.0,,  469 000 €  ,RBT71733,https://immovlan.be/en/detail/residence/for-sale/2440/geel/rbt71733,Normal,,,,,800 m²,,Residence
No,,,,,85 m²,2500 Lier,1.0,1.0,2.0,3.0,  279 000 €  ,RBT71732,https://immovlan.be/en/detail/penthouse/for-sale/2500/lier/rbt71732,Excellent,,8 m²,,Yes,,Not specified,Penthouse
No,,,,,84 m²,2500 Lier,1.0,1.0,2.0,3.0,  239 000 €  ,RBT71731,https://immovlan.be/en/detail/loft/for-sale/2500/lier/rbt71731,Excellent,,5 m²,,Yes,,Not specified,Loft
No,,,,,85 m²,2500 Lier,1.0,2.0,2.0,3.0,  289 000 €  ,RBT71730,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt71730,Excellent,,7 m²,,Yes,,Not specified,Apartment
No,,,,,74 m²,2800 Mechelen,1.0,2.0,2.0,,  230 000 €  ,RBT71727,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt71727,Normal,,,,Yes,,Gas,Apartment
,Yes,Yes,,,165 m²,2050 Antwerp,1.0,3.0,,5.0,  899 000 €  ,RBT71721,https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbt71721,Excellent,,145 m²,No,Yes,,Gas,Apartment
,Yes,Yes,,,138 m²,2230 Herselt,2.0,3.0,,,  499 630 €  ,RBT71720,https://immovlan.be/en/detail/apartment/for-sale/2230/herselt/rbt71720,New,,50 m²,No,Yes,,,Apartment
,,Yes,,,164 m²,2800 Mechelen,2.0,3.0,,,  375 000 €  ,RBT71706,https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbt71706,,,,No,,95 m²,Gas,Residence
,,Yes,,,,2930 Brasschaat,,,2.0,, Make offer from 275 000 €  ,RBT71682,https://immovlan.be/en/detail/apartment/for-sale/2930/brasschaat/rbt71682,,,,No,Yes,,,Apartment
No,,,,,89 m²,2000 Antwerp,1.0,2.0,2.0,7.0,  299 000 €  ,RBT71664,https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbt71664,Normal,,4 m²,,Yes,,Gas,Apartment
No,,,,,32 m²,2018 Antwerp,1.0,,2.0,6.0,  127 000 €  ,RBT71663,https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbt71663,Normal,,,,,,Fuel oil,Studio
No,,,,,38 m²,2018 Antwerp,1.0,,2.0,6.0,  134 000 €  ,RBT71662,https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbt71662,Normal,,,,,,Fuel oil,Studio
No,,,,,38 m²,2018 Antwerp,1.0,,2.0,6.0,  134 000 €  ,RBT71661,https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbt71661,Normal,,,,,,Fuel oil,Studio
No,,,,,107 m²,2000 Antwerp,1.0,2.0,2.0,7.0,  379 500 €  ,RBT71659,https://immovlan.be/en/detail/penthouse/for-sale/2000/antwerp/rbt71659,Normal,,50 m²,,Yes,,Electricity,Penthouse
